n,d,degree,seed,basis_size_m,generator_type,solver,method,round,status,value,solve_time,wall_time,error,basis_condition
2,3,6,7,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal,-6474.6665773668665,0.005684575,0.3064904409693554,,1.0
2,3,6,7,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-2.2811864029894013,0.010231141,0.30859363300260156,,421.882824344756
2,3,6,7,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,0.4058819622389679,0.004658329,0.35907546093221754,,10.49245783225539
2,3,6,7,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,0.4149419238904654,0.00686326,0.3201459610136226,,48.74598348979635
2,3,6,7,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,0.4149610943266075,0.004213841,0.3063531119842082,,531.6783123225404
2,3,6,7,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.41496121120092466,0.003089752,0.3263947560917586,,5833.217867290447
2,3,6,7,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.4149612136278365,0.003694218,0.30946916807442904,,192634.226274852
2,3,6,8,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,1.2983432085837912,0.002424919,0.0690325959585607,,1.0
2,3,6,8,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,exception,,,0.32938807702157646,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",1.0
2,3,6,8,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,1.2983430661512905,0.002751305,0.2900276919826865,,405868.8222265503
2,3,6,9,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.19725515012254075,0.002009492,0.062029305030591786,,1.0
2,3,6,9,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,optimal_inaccurate,-271002.70533447753,0.006707695,0.29429419804364443,,1.0
2,3,6,9,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,1,optimal,-126.7974988742353,0.011977522,0.3604527370771393,,3027.7876184189863
2,3,6,9,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,2,optimal,-5.373067141232726,0.00674626,0.3104487550444901,,191.89539038165626
2,3,6,9,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,3,optimal,-1.2327378194355527,0.004304894,0.3261155280051753,,81.35032023122064
2,3,6,9,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,4,optimal,-0.22415820820829507,0.004477953,0.30603609001263976,,142.15615142773052
2,3,6,9,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,5,optimal,0.09791948861360845,0.005817533,0.3518958259373903,,346.28305931836303
2,3,6,9,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.19725510189106743,0.002335428,0.31023033091332763,,288055.93021632405
3,2,4,0,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.0535615856661635,0.001961851,0.09344431199133396,,1.0
3,2,4,0,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.004327768,0.2890208800090477,,1.0
3,2,4,0,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,optimal,0.05356136069745539,0.003576875,0.32958943501580507,,268679.31347203924
3,2,4,1,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.17728612697417714,0.002382667,0.07013237196952105,,1.0
3,2,4,1,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.004950018,0.3735838329885155,,1.0
3,2,4,1,10,hard_sos_random_psd_gram,CLARABEL,sos_basis_sdsos,0,exception,,,0.35498052404727787,"SolverError(""Solver 'CLARABEL' failed. Try another solver, or solve with verbose=True for more information."")",232813.29126306874
3,2,4,2,10,hard_sos_random_psd_gram,CLARABEL,sos,0,optimal,0.19192774288537487,0.002925841,0.08190369803924114,,1.0
3,2,4,2,10,hard_sos_random_psd_gram,CLARABEL,sdsos_plus,0,infeasible,-inf,0.004509729,0.3222048580646515,,1.0
